Title,Country,Date,Time,Impact,Forecast,Previous
Bank Holiday,NZD,10-23-2022,9:00pm,Holiday,,
Flash Manufacturing PMI,AUD,10-23-2022,10:00pm,Low,,53.9
Flash Services PMI,AUD,10-23-2022,10:00pm,Low,,50.4
RBA Assist Gov Kent Speaks,AUD,10-23-2022,10:05pm,Low,,
Flash Manufacturing PMI,JPY,10-24-2022,12:30am,Low,51.3,51.0
GDP q/y,CNY,10-24-2022,1:30am,High,3.3%,0.4%
Fixed Asset Investment ytd/y,CNY,10-24-2022,1:30am,Low,6.0%,5.8%
Industrial Production y/y,CNY,10-24-2022,1:30am,Low,4.9%,4.2%
Retail Sales y/y,CNY,10-24-2022,1:30am,Medium,3.1%,5.4%
Unemployment Rate,CNY,10-24-2022,1:35am,Low,5.2%,5.3%
NBS Press Conference,CNY,10-24-2022,1:36am,Low,,
USD-Denominated Trade Balance,CNY,10-24-2022,1:39am,Low,80.2B,79.4B
Trade Balance,CNY,10-24-2022,1:40am,Low,565B,536B
French Flash Manufacturing PMI,EUR,10-24-2022,7:15am,Medium,47.0,47.8
French Flash Services PMI,EUR,10-24-2022,7:15am,High,51.6,53.0
German Flash Manufacturing PMI,EUR,10-24-2022,7:30am,High,46.9,48.3
German Flash Services PMI,EUR,10-24-2022,7:30am,High,45.0,45.4
Flash Manufacturing PMI,EUR,10-24-2022,8:00am,Low,47.9,48.5
Flash Services PMI,EUR,10-24-2022,8:00am,Low,48.1,48.9
Flash Manufacturing PMI,GBP,10-24-2022,8:30am,High,47.9,48.5
Flash Services PMI,GBP,10-24-2022,8:30am,High,48.0,49.2
Flash Services PMI,USD,10-24-2022,1:45pm,High,49.6,49.2
Flash Manufacturing PMI,USD,10-24-2022,1:45pm,Medium,51.0,51.8
MPC Member Ramsden Speaks,GBP,10-24-2022,2:15pm,Low,,
Treasury Sec Yellen Speaks,USD,10-24-2022,3:00pm,Medium,,
BOJ Core CPI y/y,JPY,10-25-2022,4:59am,Low,1.9%,1.9%
German ifo Business Climate,EUR,10-25-2022,8:00am,Medium,83.4,84.3
Annual Budget Release,AUD,10-25-2022,8:30am,Medium,,
MPC Member Pill Speaks,GBP,10-25-2022,8:55am,Low,,
CBI Industrial Order Expectations,GBP,10-25-2022,10:00am,Low,-13,-2
S&P/CS Composite-20 HPI y/y,USD,10-25-2022,1:00pm,Low,14.0%,16.1%
HPI m/m,USD,10-25-2022,1:00pm,Low,-0.7%,-0.6%
Belgian NBB Business Climate,EUR,10-25-2022,1:00pm,Low,-10.9,-11.8
Richmond Manufacturing Index,USD,10-25-2022,2:00pm,Medium,-5,0
CB Consumer Confidence,USD,10-25-2022,2:00pm,High,105.9,108.0
FOMC Member Waller Speaks,USD,10-25-2022,5:55pm,Medium,,
SPPI y/y,JPY,10-25-2022,11:50pm,Low,2.1%,1.9%
ANZ Business Confidence,NZD,10-26-2022,12:00am,Low,,-36.7
CPI q/q,AUD,10-26-2022,12:30am,High,1.6%,1.8%
Trimmed Mean CPI q/q,AUD,10-26-2022,12:30am,High,1.5%,1.5%
Foreign Direct Investment ytd/y,CNY,10-26-2022,7:02am,Low,,16.4%
Credit Suisse Economic Expectations,CHF,10-26-2022,8:00am,Low,,-69.2
M3 Money Supply y/y,EUR,10-26-2022,8:00am,Low,6.0%,6.1%
Private Loans y/y,EUR,10-26-2022,8:00am,Low,4.8%,4.5%
Prelim Wholesale Inventories m/m,USD,10-26-2022,12:30pm,Low,1.0%,1.3%
Goods Trade Balance,USD,10-26-2022,12:30pm,Low,-87.4B,-87.3B
Overnight Rate,CAD,10-26-2022,2:00pm,High,4.00%,3.25%
BOC Rate Statement,CAD,10-26-2022,2:00pm,High,,
BOC Monetary Policy Report,CAD,10-26-2022,2:00pm,High,,
New Home Sales,USD,10-26-2022,2:00pm,Medium,579K,685K
Crude Oil Inventories,USD,10-26-2022,2:30pm,Low,,-1.7M
BOC Press Conference,CAD,10-26-2022,3:00pm,High,,
Import Prices q/q,AUD,10-27-2022,12:30am,Low,0.8%,4.3%
RBA Annual Report,AUD,10-27-2022,4:30am,Low,,
German GfK Consumer Climate,EUR,10-27-2022,6:00am,Low,-42.4,-42.5
Spanish Unemployment Rate,EUR,10-27-2022,7:00am,Low,12.4%,12.5%
CBI Realized Sales,GBP,10-27-2022,10:00am,Low,-15,-20
Main Refinancing Rate,EUR,10-27-2022,12:15pm,High,2.00%,1.25%
Monetary Policy Statement,EUR,10-27-2022,12:15pm,High,,
Unemployment Claims,USD,10-27-2022,12:30pm,Medium,219K,214K
Core Durable Goods Orders m/m,USD,10-27-2022,12:30pm,Medium,0.2%,0.2%
Durable Goods Orders m/m,USD,10-27-2022,12:30pm,Medium,0.6%,-0.2%
Advance GDP q/q,USD,10-27-2022,12:30pm,High,2.3%,-0.9%
Advance GDP Price Index q/q,USD,10-27-2022,12:30pm,Medium,5.3%,8.7%
ECB Press Conference,EUR,10-27-2022,12:45pm,High,,
